alert_id,motor_id,timestamp,sensor,parametro,valor_medido,baseline,desvio,unidade,nivel,evento_tipo,resumo_gerado,label_verdadeiro,label_predito
A001,MT-042,2026-08-18 08:15:00,temp_enrolamento,temperatura,78.0,60.0,18.0,°C,moderado,anomalia_eletrica,Alerta moderado detectado no Motor MT-042. A temperatura do enrolamento apresentou desvio de +18.0°C acima do baseline (78.0°C vs. 60.0°C) registrado em 18/08/2026 08:15. Recomenda-se verificação do sistema de refrigeração nas próximas 48 horas.,anomalia elétrica,manutenção preventiva
A002,MT-017,2026-08-18 09:40:00,vibracao_radial,vibracao,2.1,1.0,1.1,mm/s,critico,anomalia_mecanica,"Alerta CRÍTICO detectado no Motor MT-017. A vibração radial atingiu 2.1mm/s, um desvio de +1.1mm/s em relação ao baseline de 1.0mm/s, registrado em 18/08/2026 09:40. Risco elevado de falha; recomenda-se inspeção do alinhamento e balanceamento com prioridade máxima, avaliando parada imediata do equipamento.",anomalia mecânica,manutenção preventiva
A003,MT-005,2026-08-18 10:05:00,corrente_fase,corrente,12.5,11.0,1.5,A,leve,operacao_normal,"Alerta leve registrado no Motor MT-005. A corrente de fase apresentou desvio de +1.5A em relação ao baseline (12.5A vs. 11.0A), em 18/08/2026 10:05. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",operação normal,manutenção preventiva
A004,MT-042,2026-08-18 12:30:00,temp_enrolamento,temperatura,64.0,60.0,4.0,°C,leve,operacao_normal,"Alerta leve registrado no Motor MT-042. A temperatura do enrolamento apresentou desvio de +4.0°C em relação ao baseline (64.0°C vs. 60.0°C), em 18/08/2026 12:30. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",operação normal,manutenção preventiva
A005,MT-029,2026-08-18 14:00:00,vibracao_axial,vibracao,3.4,1.2,2.2,mm/s,critico,anomalia_mecanica,"Alerta CRÍTICO detectado no Motor MT-029. A vibração axial atingiu 3.4mm/s, um desvio de +2.2mm/s em relação ao baseline de 1.2mm/s, registrado em 18/08/2026 14:00. Risco elevado de falha; recomenda-se inspeção mecânica do acoplamento e rolamentos com prioridade máxima, avaliando parada imediata do equipamento.",anomalia mecânica,manutenção preventiva
A006,MT-011,2026-08-18 15:20:00,isolamento,resistencia,0.4,5.0,-4.6,MΩ,critico,anomalia_eletrica,"Alerta CRÍTICO detectado no Motor MT-011. A resistência de isolamento atingiu 0.4MΩ, um desvio de -4.6MΩ em relação ao baseline de 5.0MΩ, registrado em 18/08/2026 15:20. Risco elevado de falha; recomenda-se inspeção do sistema de isolamento elétrico com prioridade máxima, avaliando parada imediata do equipamento.",anomalia elétrica,manutenção preventiva
A007,MT-017,2026-08-18 16:50:00,rolamento_temp,temperatura,55.0,45.0,10.0,°C,moderado,manutencao_preventiva,Alerta moderado detectado no Motor MT-017. A temperatura do rolamento apresentou desvio de +10.0°C acima do baseline (55.0°C vs. 45.0°C) registrado em 18/08/2026 16:50. Recomenda-se lubrificação e inspeção mecânica do rolamento nas próximas 48 horas.,manutenção preventiva,manutenção preventiva
A008,MT-005,2026-08-19 07:10:00,corrente_fase,corrente,11.2,11.0,0.2,A,leve,operacao_normal,"Alerta leve registrado no Motor MT-005. A corrente de fase apresentou desvio de +0.2A em relação ao baseline (11.2A vs. 11.0A), em 19/08/2026 07:10. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",operação normal,manutenção preventiva
A009,MT-029,2026-08-19 08:35:00,vibracao_axial,vibracao,1.5,1.2,0.3,mm/s,leve,manutencao_preventiva,"Alerta leve registrado no Motor MT-029. A vibração axial apresentou desvio de +0.3mm/s em relação ao baseline (1.5mm/s vs. 1.2mm/s), em 19/08/2026 08:35. Nenhuma ação imediata é necessária; recomenda-se apenas monitoramento contínuo.",manutenção preventiva,manutenção preventiva
A010,MT-011,2026-08-19 09:55:00,isolamento,resistencia,3.2,5.0,-1.8,MΩ,moderado,anomalia_eletrica,Alerta moderado detectado no Motor MT-011. A resistência de isolamento apresentou desvio de -1.8MΩ acima do baseline (3.2MΩ vs. 5.0MΩ) registrado em 19/08/2026 09:55. Recomenda-se inspeção do sistema de isolamento elétrico nas próximas 48 horas.,anomalia elétrica,anomalia elétrica
