alert_id,motor_id,timestamp,sensor,parametro,valor_medido,baseline,desvio,unidade,nivel,evento_tipo
A001,MT-042,2026-08-18 08:15:00,temp_enrolamento,temperatura,78,60,18,°C,moderado,anomalia_eletrica
A002,MT-017,2026-08-18 09:40:00,vibracao_radial,vibracao,2.1,1.0,1.1,mm/s,critico,anomalia_mecanica
A003,MT-005,2026-08-18 10:05:00,corrente_fase,corrente,12.5,11.0,1.5,A,leve,operacao_normal
A004,MT-042,2026-08-18 12:30:00,temp_enrolamento,temperatura,64,60,4,°C,leve,operacao_normal
A005,MT-029,2026-08-18 14:00:00,vibracao_axial,vibracao,3.4,1.2,2.2,mm/s,critico,anomalia_mecanica
A006,MT-011,2026-08-18 15:20:00,isolamento,resistencia,0.4,5.0,-4.6,MΩ,critico,anomalia_eletrica
A007,MT-017,2026-08-18 16:50:00,rolamento_temp,temperatura,55,45,10,°C,moderado,manutencao_preventiva
A008,MT-005,2026-08-19 07:10:00,corrente_fase,corrente,11.2,11.0,0.2,A,leve,operacao_normal
A009,MT-029,2026-08-19 08:35:00,vibracao_axial,vibracao,1.5,1.2,0.3,mm/s,leve,manutencao_preventiva
A010,MT-011,2026-08-19 09:55:00,isolamento,resistencia,3.2,5.0,-1.8,MΩ,moderado,anomalia_eletrica
A011,MT-042,2026-08-19 11:15:00,temp_enrolamento,temperatura,92,60,32,°C,critico,anomalia_eletrica
A012,MT-017,2026-08-19 13:00:00,vibracao_radial,vibracao,1.3,1.0,0.3,mm/s,leve,manutencao_preventiva
A013,MT-005,2026-08-19 14:25:00,rolamento_temp,temperatura,70,45,25,°C,critico,anomalia_mecanica
A014,MT-029,2026-08-19 15:45:00,corrente_fase,corrente,15.8,11.0,4.8,A,moderado,anomalia_eletrica
A015,MT-011,2026-08-19 17:00:00,vibracao_axial,vibracao,1.1,1.2,-0.1,mm/s,leve,operacao_normal
A016,MT-042,2026-08-20 07:30:00,rolamento_temp,temperatura,48,45,3,°C,leve,manutencao_preventiva
A017,MT-017,2026-08-20 08:50:00,temp_enrolamento,temperatura,85,60,25,°C,critico,anomalia_eletrica
A018,MT-005,2026-08-20 10:10:00,vibracao_radial,vibracao,2.4,1.0,1.4,mm/s,critico,anomalia_mecanica
A019,MT-029,2026-08-20 11:35:00,isolamento,resistencia,1.1,5.0,-3.9,MΩ,critico,anomalia_eletrica
A020,MT-011,2026-08-20 13:00:00,corrente_fase,corrente,11.5,11.0,0.5,A,leve,operacao_normal
